Age,Thrust_power,Terameters,Sell_price
0.000000000000000000e+00,1.028844454058667282e+02,3.011760461357810925e+01,7.686588171888553234e+02
1.144554026401583657e+00,9.000000000000000000e+00,9.611021563454093553e+01,6.245010283779509308e+01
3.420318282670128163e+00,2.180412818403510755e+01,1.197116942676912466e+01,3.466895922621272348e+02
3.604186273780436434e+00,3.003542744504746054e+01,6.363589657095010921e+01,2.550964965848953909e+02
2.660054978428246564e+00,1.294449903532885742e+02,2.701023584272956413e+01,9.213033465336304744e+02
3.562740118257809563e+00,7.415338258040009123e+01,1.135558966340025790e+02,3.732285110079996002e+02
5.049178840243660815e+00,8.945919211243501934e+01,3.002430186902804721e+01,6.648693029239916541e+02
4.589966766012207877e+00,4.736653909232558846e+01,1.090162826393701749e+02,2.234452678599953686e+02
5.350715506677529376e+00,1.132537608390926778e+02,3.623270598392630859e+01,7.794008279261562393e+02
5.504877129558205517e+00,1.042541096688433271e+02,6.202249392519480864e+01,6.575058549912704393e+02
5.545096173345031687e+00,6.787312687219747431e+01,6.018018371085955920e+01,4.568689130818753483e+02
6.334035229924052324e+00,6.472275423013863360e+01,8.086387000922428570e+01,3.743500722384950450e+02
6.601620317850781738e+00,6.735006971226862049e+01,7.302042083471110345e+01,4.081168711146274291e+02
5.778442399778819016e+00,1.047187717956881272e+02,2.078692698266509264e+00,8.157738418407361678e+02
5.142760300444246369e+00,7.010907998776988848e+01,7.124772305022068508e+01,4.461373020598846892e+02
5.550248952274964509e+00,1.400488968875339424e+02,3.911760500934087759e+01,9.223694975016497892e+02
7.211655829442319643e+00,1.153689240383367292e+02,1.582376472514853383e+01,8.175923429992287765e+02
7.655869000588612749e+00,9.926344933396325132e+01,4.693067338331778160e+01,6.380648599245582773e+02
6.143184921494806439e+00,2.918501559998143691e+01,3.470093617326732272e+01,2.987685565815273208e+02
7.470234440042972324e+00,1.411069103939042293e+02,0.000000000000000000e+00,1.000000000000000000e+03
7.773854239380804110e+00,6.702152333275859064e+01,1.021666636546479712e+00,5.762636483648147987e+02
6.557945315045708767e+00,6.403558547181663130e+01,9.188124240805947807e+01,3.395042294073793983e+02
5.943394358160531965e+00,8.248793210378661911e+01,1.089941034210201849e+02,4.058138479291137628e+02
6.770407425013410752e+00,5.091750378974055735e+01,1.054822876715274731e+02,2.267045148766472664e+02
6.153625940593499877e+00,1.341921252079371811e+02,1.307704180517686439e+02,6.385566393036610862e+02
